fre_len,eng_len,f_ind,e_ind,prob
12,18,1,1,0.41720434585238125
12,18,1,2,0.17660530436341965
12,18,1,3,0.11985186863512129
12,18,1,4,0.06426211934205787
12,18,1,5,0.007887145829440322
12,18,1,6,0.008199522301156467
12,18,1,7,0.007434248050040224
12,18,1,8,0.00802424897275243
12,18,1,9,0.007290643636163638
12,18,1,10,0.007949519387235916
12,18,1,11,0.008095444294070475
12,18,1,12,0.06416893676399238
12,18,1,13,0.06389215983522933
12,18,1,14,0.0072951929875087656
12,18,1,15,0.008035116475231916
12,18,1,16,0.008040866420928936
12,18,1,17,0.007846491824303739
12,18,1,18,0.007916825028965449
12,18,2,1,0.07690123460133923
12,18,2,2,0.14732442951020872
12,18,2,3,0.36544520687544296
12,18,2,4,0.009183226808732061
12,18,2,5,0.008981247822276947
12,18,2,6,0.07842140831399774
12,18,2,7,0.00865530937104834
12,18,2,8,0.009216051041453888
12,18,2,9,0.008357482206523426
12,18,2,10,0.008949658522736242
12,18,2,11,0.0091679186105159
12,18,2,12,0.008803157398433428
12,18,2,13,0.008243546922159504
12,18,2,14,0.008715054183119925
12,18,2,15,0.07834938286640954
12,18,2,16,0.009014115165133466
12,18,2,17,0.009025747167888093
12,18,2,18,0.14724582261258037
12,18,3,1,0.01485709919012418
12,18,3,2,0.01685206921890403
12,18,3,3,0.19014096978652112
12,18,3,4,0.017392422264991284
12,18,3,5,0.01706746321393798
12,18,3,6,0.19194648971993233
12,18,3,7,0.016010747305772205
12,18,3,8,0.01736258687088841
12,18,3,9,0.015892448028515815
12,18,3,10,0.01717776981061009
12,18,3,11,0.19281955826025043
12,18,3,12,0.19142832086462275
12,18,3,13,0.015587875802827278
12,18,3,14,0.016702552686598995
12,18,3,15,0.017434637327630682
12,18,3,16,0.017162584918325906
12,18,3,17,0.016998666649678876
12,18,3,18,0.0171657380798675
12,18,4,1,0.00809794184280112
12,18,4,2,0.07873251261360223
12,18,4,3,0.008859834750074007
12,18,4,4,0.2186148094235135
12,18,4,5,0.21815027881676716
12,18,4,6,0.009516716128188926
12,18,4,7,0.008958611075755723
12,18,4,8,0.009331186500268603
12,18,4,9,0.008528942924382898
12,18,4,10,0.0785882590930111
12,18,4,11,0.009271031058467879
12,18,4,12,0.22035906360860139
12,18,4,13,0.00810833922047699
12,18,4,14,0.008832412308707606
12,18,4,15,0.07869475311894347
12,18,4,16,0.008942839943359157
12,18,4,17,0.009123320448914835
12,18,4,18,0.009289147124163693
12,18,5,1,0.07736698341572734
12,18,5,2,0.008920185361519771
12,18,5,3,0.008597452136279351
12,18,5,4,0.07871294503499501
12,18,5,5,0.15102203465136532
12,18,5,6,0.009570119170872998
12,18,5,7,0.28710581331698637
12,18,5,8,0.009412631485684764
12,18,5,9,0.07800195382779154
12,18,5,10,0.07869172283237727
12,18,5,11,0.07897958662699552
12,18,5,12,0.009173245131505504
12,18,5,13,0.008641752869308777
12,18,5,14,0.008981160937139621
12,18,5,15,0.009434131308317169
12,18,5,16,0.009366788022818127
12,18,5,17,0.078807574688037
12,18,5,18,0.009213919182278303
12,18,6,1,0.009319682134292689
12,18,6,2,0.010953212116560066
12,18,6,3,0.10865288759034035
12,18,6,4,0.10921180046722526
12,18,6,5,0.010703211765213608
12,18,6,6,0.011274258344510605
12,18,6,7,0.010389029358675764
12,18,6,8,0.11116018886333814
12,18,6,9,0.3233973411060855
12,18,6,10,0.010779823943497985
