french,fertility,prob
déduction,3,0.0030397754241283615
déduction,1,0.7532592618415237
épuration,0,0.12914000428296843
épuration,2,0.08669204865182521
épuration,3,0.002268536916820965
épuration,1,0.7818994101483854
craintifs,4,0.050240617809188516
craintifs,2,0.4705737620386006
craintifs,3,0.3737041175593543
craintifs,5,0.0017302167802478474
craintifs,1,0.1037512858126088
hyperréglementation,4,0.05141643004317187
hyperréglementation,2,0.48530243421818053
hyperréglementation,3,0.36440084443146015
hyperréglementation,5,0.0017513414140525997
hyperréglementation,1,0.09712894989313502
refuse-t-elle,7,0.0011463756947783647
refuse-t-elle,4,0.27190257158254927
refuse-t-elle,3,0.018446831786871346
refuse-t-elle,5,0.6478228939271087
refuse-t-elle,6,0.06068132700869235
nourrit,0,0.14102028364138666
nourrit,2,0.11109761040605157
nourrit,3,0.003908896687263315
nourrit,1,0.7439732092652984
atténuer,0,0.8899465854019604
atténuer,2,0.002997953994718051
atténuer,1,0.10705546060332162
pourcentage,0,0.44885933867425903
pourcentage,2,0.06704849506865455
pourcentage,3,0.002350792543521983
pourcentage,1,0.4817413737135644
homogène,0,0.1673916110060825
homogène,4,0.0007517825012451352
homogène,2,0.4648547664082033
homogène,3,0.04237830441894392
homogène,1,0.32462353566552526
cachemire,0,0.15739347295450137
cachemire,2,0.1490813789129563
cachemire,3,0.008149944161509654
cachemire,1,0.6853752039710327
dégagé,0,0.37699359280313627
dégagé,2,0.07314264965833478
dégagé,3,0.0024088020173634473
dégagé,1,0.5474549555211655
multitude,0,0.13529375620871797
multitude,2,0.12363319372881548
multitude,3,0.0050635052546415945
multitude,1,0.7360095448078249
prévisible,0,0.6085310047931901
prévisible,2,0.04661161657466369
prévisible,3,0.0014518499097562108
prévisible,1,0.34340552872239005
réagit,0,0.009374054085120797
réagit,4,0.0023454155714629915
réagit,2,0.6663209299413105
réagit,3,0.08173751602493334
réagit,1,0.24022208437717218
freiner,0,0.43738970711856706
freiner,4,0.0015068117747241642
freiner,2,0.35601810472148393
freiner,3,0.049165200509512084
freiner,1,0.15592017587571277
éminent,0,0.8077664124125552
éminent,2,0.00966039749971609
éminent,1,0.18257319008772865
civilisé,0,0.010532713433950854
civilisé,4,0.004083082557417999
civilisé,2,0.6350357684526767
civilisé,3,0.10680428320920513
civilisé,1,0.24354415234674925
devenus,0,0.5076896939664165
devenus,2,0.05077469336818653
devenus,3,0.0014760220114433842
devenus,1,0.44005959065395356
opportunistes,0,0.12277571254016877
opportunistes,2,0.0918872828149849
opportunistes,3,0.0025259638758862407
opportunistes,1,0.78281104076896
quiconque,0,0.08118467640992857
quiconque,2,0.08842723177475605
quiconque,3,0.002147155944614421
quiconque,1,0.8282409358707009
suggestion,0,0.3848057043766713
suggestion,4,0.001003921029560031
suggestion,2,0.18444208611571142
suggestion,3,0.02632778043754598
suggestion,1,0.40342050804051127
allez,0,0.37353011670220737
allez,2,0.08982064765763742
allez,3,0.004249884585132096
allez,1,0.532399351055023
approuvés,4,0.6652508921095931
approuvés,2,0.015231872582953795
approuvés,3,0.254165918588283
approuvés,5,0.06405783812525755
approuvés,6,0.0012934785939124939
sont-ils,0,0.6470782505477025
sont-ils,4,0.0010291092625507147
sont-ils,2,0.1579955285420577
sont-ils,3,0.025921947360430887
sont-ils,1,0.16797516428725823
dom,0,0.13146379123294127
dom,2,0.11202126901178873
dom,3,0.0038395370940695257
dom,1,0.7526754026612005
concède,4,0.4603609850990247
concède,2,0.06526057495301135
concède,3,0.42590422580215426
concède,5,0.047346780434676716
concède,6,0.0011274337111329606
préventifs,0,0.8977782797383134
préventifs,2,0.002555925387188834
préventifs,1,0.09966579487449784
oral,0,0.09533052628431105
oral,4,0.00020748935118393186
oral,2,0.16433705490134112
oral,3,0.011241857051065106
oral,1,0.7288830724120987
producteur,0,0.4485782391222825
producteur,4,0.035883025522847514
producteur,2,0.1231367442834419
producteur,3,0.33487188025460735
producteur,5,0.0008513042502990913
producteur,1,0.05667880656652161
idéaux,0,0.016574679286589688
idéaux,4,0.002264194539609096
idéaux,2,0.6109448078062036
idéaux,3,0.07521668372059324
idéaux,1,0.2949996346470043
juive,0,0.8959782152358369
juive,2,0.0026718919014621753
juive,1,0.1013498928627009
facilement,0,0.6827825607549014
facilement,2,0.025829639832734154
facilement,3,0.0006759307343349803
facilement,1,0.29071186867802945
excessive,0,0.3001317274700458
excessive,4,0.027460477112737063
excessive,2,0.26005181913375486
excessive,3,0.25847136270069054
excessive,5,0.0006584392807496292
excessive,1,0.15322617430202212
assument,7,0.000626243325558838
assument,4,0.15523033632244435
assument,0,0.07086077790434166
assument,2,0.045282092816512
assument,3,0.014263637418816298
assument,5,0.30086991963626136
assument,6,0.03028630194278818
assument,1,0.3825806906332774
gestion,0,0.3537217673266748
gestion,2,0.07048459862849044
gestion,3,0.00223704483395929
gestion,1,0.5735565892108754
suscitée,0,0.14115283018331531
suscitée,2,0.10009595176005967
suscitée,3,0.0031999201666939123
suscitée,1,0.7555512978899311
salmonicole,0,0.8623749508970041
salmonicole,2,0.004737393215582057
salmonicole,1,0.13288765588741386
colorants,0,0.17497727586271455
colorants,2,0.1402917895803898
colorants,3,0.007111773316778437
colorants,1,0.6776191612401172
israéliens,0,0.44616285673052447
israéliens,4,0.0011616426624060643
israéliens,2,0.35180874228532444
israéliens,3,0.04241855840194942
